Type,ID,Info
Column,C01,"17000,0; 600x600; rho_est=0.024"
Column,C02,"25000,0; 600x600; rho_est=0.027"
Column,C03,"33000,0; 600x600; rho_est=0.027"
Column,C04,"41000,0; 600x600; rho_est=0.027"
Column,C05,"49000,0; 600x600; rho_est=0.027"
Column,C06,"56500,0; 600x600; rho_est=0.024"
Column,C08,"25000,17000; 600x600; rho_est=0.027"
Column,C09,"33000,17000; 600x600; rho_est=0.027"
Column,C10,"41000,17000; 600x600; rho_est=0.027"
Column,C11,"49000,17000; 600x600; rho_est=0.027"
Column,C12,"56500,17000; 600x600; rho_est=0.024"
Column,C13,"0,17000; 600x600; rho_est=0.024"
Column,C14,"0,25000; 600x600; rho_est=0.028"
Column,C15,"0,33000; 600x600; rho_est=0.028"
Column,C16,"0,41000; 600x600; rho_est=0.028"
Column,C17,"0,49000; 600x600; rho_est=0.028"
Column,C18,"0,56000; 600x600; rho_est=0.024"
Column,C19,"17000,25000; 600x600; rho_est=0.028"
Column,C20,"17000,33000; 600x600; rho_est=0.028"
Column,C21,"17000,41000; 600x600; rho_est=0.028"
Column,C22,"17000,49000; 600x600; rho_est=0.028"
Column,C23,"17000,56000; 600x600; rho_est=0.024"
Column,C24,"5500,5500; 600x600; rho_est=0.030"
Column,C25,"5500,17000; 600x600; rho_est=0.032"
Column,C26,"5500,25000; 600x600; rho_est=0.032"
Column,C27,"5500,33000; 600x600; rho_est=0.032"
Column,C28,"5500,41000; 600x600; rho_est=0.032"
Column,C29,"5500,49000; 600x600; rho_est=0.032"
Column,C30,"5500,56000; 600x600; rho_est=0.030"
Column,C31,"25000,5500; 600x600; rho_est=0.032"
Column,C32,"33000,5500; 600x600; rho_est=0.032"
Column,C33,"41000,5500; 600x600; rho_est=0.032"
Column,C34,"49000,5500; 600x600; rho_est=0.032"
Column,C35,"56500,5500; 600x600; rho_est=0.031"
Column,C36,"0,0; 600x600; rho_est=0.024"
Column,C37,"0,8500; 600x600; rho_est=0.025"
Column,C38,"8500,0; 600x600; rho_est=0.026"
Beam,B001,"0,0 -> 8500,0; 300x450; primary"
Beam,B002,"8500,0 -> 17000,0; 300x450; primary"
Beam,B003,"17000,0 -> 25000,0; 300x450; primary"
Beam,B004,"25000,0 -> 33000,0; 300x450; primary"
Beam,B005,"33000,0 -> 41000,0; 300x450; primary"
Beam,B006,"41000,0 -> 49000,0; 300x450; primary"
Beam,B007,"49000,0 -> 56500,0; 300x450; primary"
Beam,B008,"0,17000 -> 5500,17000; 300x450; primary"
Beam,B009,"5500,17000 -> 25000,17000; 350x450; primary"
Beam,B010,"25000,17000 -> 33000,17000; 300x450; primary"
Beam,B011,"33000,17000 -> 41000,17000; 300x450; primary"
Beam,B012,"41000,17000 -> 49000,17000; 300x450; primary"
Beam,B013,"49000,17000 -> 56500,17000; 300x450; primary"
Beam,B014,"0,25000 -> 5500,25000; 250x350; secondary"
Beam,B015,"5500,25000 -> 17000,25000; 300x400; secondary"
Beam,B016,"0,33000 -> 5500,33000; 250x350; secondary"
Beam,B017,"5500,33000 -> 17000,33000; 300x400; secondary"
Beam,B018,"0,41000 -> 5500,41000; 250x350; secondary"
Beam,B019,"5500,41000 -> 17000,41000; 300x400; secondary"
Beam,B020,"0,49000 -> 5500,49000; 250x350; secondary"
Beam,B021,"5500,49000 -> 17000,49000; 300x400; secondary"
Beam,B022,"0,56000 -> 5500,56000; 250x350; secondary"
Beam,B023,"5500,56000 -> 17000,56000; 300x400; secondary"
Beam,B024,"5500,5500 -> 25000,5500; 350x450; primary"
Beam,B025,"25000,5500 -> 33000,5500; 300x450; primary"
Beam,B026,"33000,5500 -> 41000,5500; 300x450; primary"
Beam,B027,"41000,5500 -> 49000,5500; 300x450; primary"
Beam,B028,"49000,5500 -> 56500,5500; 300x450; primary"
Beam,B029,"0,0 -> 0,8500; 300x450; primary"
Beam,B030,"0,8500 -> 0,17000; 300x450; primary"
Beam,B031,"0,17000 -> 0,25000; 300x450; primary"
Beam,B032,"0,25000 -> 0,33000; 300x450; primary"
Beam,B033,"0,33000 -> 0,41000; 300x450; primary"
Beam,B034,"0,41000 -> 0,49000; 300x450; primary"
Beam,B035,"0,49000 -> 0,56000; 300x450; primary"
Beam,B036,"5500,5500 -> 5500,17000; 300x400; secondary"
Beam,B037,"5500,17000 -> 5500,25000; 250x350; secondary"
Beam,B038,"5500,25000 -> 5500,33000; 250x350; secondary"
Beam,B039,"5500,33000 -> 5500,41000; 250x350; secondary"
Beam,B040,"5500,41000 -> 5500,49000; 250x350; secondary"
Beam,B041,"5500,49000 -> 5500,56000; 250x350; secondary"
Beam,B042,"17000,0 -> 17000,25000; 350x450; primary"
Beam,B043,"17000,25000 -> 17000,33000; 300x450; primary"
Beam,B044,"17000,33000 -> 17000,41000; 300x450; primary"
Beam,B045,"17000,41000 -> 17000,49000; 300x450; primary"
Beam,B046,"17000,49000 -> 17000,56000; 300x450; primary"
Beam,B047,"25000,0 -> 25000,5500; 250x350; secondary"
Beam,B048,"25000,5500 -> 25000,17000; 300x400; secondary"
Beam,B049,"33000,0 -> 33000,5500; 250x350; secondary"
Beam,B050,"33000,5500 -> 33000,17000; 300x400; secondary"
Beam,B051,"41000,0 -> 41000,5500; 250x350; secondary"
Beam,B052,"41000,5500 -> 41000,17000; 300x400; secondary"
Beam,B053,"49000,0 -> 49000,5500; 250x350; secondary"
Beam,B054,"49000,5500 -> 49000,17000; 300x400; secondary"
Beam,B055,"56500,0 -> 56500,5500; 250x350; secondary"
Beam,B056,"56500,5500 -> 56500,17000; 300x400; secondary"
